step,x,y,action,tile,reward,health,has_key
0,1,1,2,0,-100.0,299,0
1,2,1,3,0,10.0,298,0
2,3,1,3,0,10.0,297,0
3,4,1,3,0,10.0,296,0
4,4,2,1,0,10.0,295,0
5,4,2,0,0,-1.0,294,0
6,4,2,1,0,-0.0,293,0
7,4,2,0,0,-1.0,292,0
8,5,2,3,0,10.0,291,0
9,5,2,3,0,-100.0,290,0
10,5,2,2,0,-1.0,289,0
11,5,3,1,0,10.0,288,0
12,5,4,1,0,40.0,287,1
13,5,5,1,0,10.0,286,1
14,5,5,3,0,-100.0,285,1
15,5,5,2,0,-0.0,284,1
16,5,5,3,0,-100.0,283,1
17,5,5,3,0,-100.0,282,1
18,5,5,2,0,-100.0,281,1
19,5,5,2,0,-200.0,280,1
20,5,5,2,0,-300.0,279,1
21,5,4,0,0,10.0,278,1
22,4,4,2,0,10.0,277,1
23,4,4,1,0,-400.0,276,1
24,3,4,2,0,10.0,275,1
25,3,3,0,0,10.0,274,1
26,3,4,1,0,10.0,273,1
27,2,4,2,0,10.0,272,1
28,1,4,2,0,10.0,271,1
29,1,3,0,0,80.0,270,1
30,1,3,2,0,80.0,270,1
